time_from,time_to,region_from,region_to,Ndev_true
190,200,8,8,6
190,200,9,9,15
190,200,10,10,23
200,210,1,1,15
200,210,2,2,18
200,210,3,3,44
200,210,4,4,14
200,210,5,5,24
200,210,6,6,16
200,210,7,5,2
200,210,7,7,37
200,210,7,10,3
200,210,8,8,6
200,210,9,9,15
200,210,10,10,23
210,220,1,1,15
210,220,2,2,18
210,220,3,2,1
210,220,3,3,43
210,220,4,4,14
210,220,5,2,1
210,220,5,3,3
210,220,5,5,21
210,220,5,7,1
210,220,6,6,16
210,220,7,7,37
210,220,8,8,6
210,220,9,9,15
210,220,10,10,26
220,230,1,1,15
220,230,2,2,19
220,230,2,3,1
220,230,3,3,45
220,230,3,5,1
220,230,4,4,14
220,230,5,5,21
220,230,6,6,16
220,230,7,5,3
220,230,7,7,33
220,230,7,10,2
220,230,8,8,6
220,230,9,7,1
220,230,9,9,14
220,230,10,10,26
230,240,1,1,15
230,240,2,2,19
230,240,3,2,1
230,240,3,3,45
230,240,4,4,14
230,240,5,5,24
230,240,5,7,1
230,240,6,6,16
230,240,7,5,1
230,240,7,7,33
230,240,8,8,6
230,240,9,9,14
230,240,10,7,2
230,240,10,10,26
240,250,1,1,15
240,250,2,2,19
240,250,2,3,1
240,250,3,3,45
240,250,4,4,14
240,250,5,3,1
240,250,5,5,24
240,250,6,4,2
240,250,6,6,14
240,250,7,5,1
240,250,7,7,35
240,250,8,8,6
240,250,9,7,1
240,250,9,9,13
240,250,10,10,26
250,260,1,1,15
250,260,2,2,19
250,260,3,3,47
250,260,4,4,16
250,260,5,5,25
250,260,6,4,1
250,260,6,6,13
250,260,7,5,1
250,260,7,7,35
250,260,8,8,6
250,260,9,9,13
250,260,10,7,1
250,260,10,10,25
260,270,1,1,15
260,270,2,2,18
260,270,2,3,1
260,270,3,3,47
260,270,4,4,17
260,270,5,3,1
260,270,5,5,25
260,270,6,6,12
260,270,6,7,1
260,270,7,7,36
260,270,8,8,5
260,270,8,9,1
260,270,9,6,1
260,270,9,9,12
260,270,10,10,25
270,280,1,1,15
270,280,2,2,18
270,280,3,3,48
270,280,3,5,1
270,280,4,4,17
270,280,5,5,25
270,280,6,6,13
270,280,7,7,37
270,280,8,8,2
270,280,8,9,3
270,280,9,9,13
270,280,10,10,25
280,290,1,1,15
280,290,2,1,1
280,290,2,2,16
280,290,2,3,1
280,290,3,3,48
280,290,4,4,17
280,290,5,5,26
280,290,6,6,13
280,290,7,7,37
280,290,8,8,2
280,290,9,9,16
280,290,10,10,25
290,300,1,1,16
290,300,2,2,16
290,300,3,3,49
290,300,4,4,17
290,300,5,2,1
290,300,5,5,25
290,300,6,6,13
290,300,7,7,37
290,300,8,8,2
290,300,9,6,2
290,300,9,7,1
290,300,9,9,13
290,300,10,7,1
290,300,10,10,24
300,310,1,1,16
300,310,2,2,17
300,310,3,3,49
300,310,4,4,16
300,310,4,5,1
300,310,5,3,1
300,310,5,5,24
300,310,6,6,15
300,310,7,7,39
300,310,8,8,2
300,310,9,9,13
300,310,10,10,24
310,320,1,1,16
310,320,2,2,16
310,320,2,3,1
310,320,3,3,50
310,320,4,2,1
310,320,4,4,15
310,320,5,3,1
310,320,5,5,24
310,320,6,5,1
310,320,6,6,13
310,320,6,7,1
310,320,7,7,39
310,320,8,8,2
310,320,9,9,13
310,320,10,10,24
320,330,1,1,16
320,330,2,2,17
320,330,3,3,52
320,330,4,4,15
320,330,5,5,24
320,330,5,7,1
320,330,6,6,13
320,330,7,7,38
320,330,7,10,2
320,330,8,8,2
320,330,9,6,2
320,330,9,9,11
320,330,10,10,24
330,340,1,1,16
330,340,2,2,17
330,340,3,3,52
330,340,4,4,15
330,340,5,5,24
330,340,6,6,15
330,340,7,7,38
330,340,7,10,1
330,340,8,8,2
330,340,9,9,11
330,340,10,10,26
340,350,1,1,16
340,350,2,2,17
340,350,3,3,52
340,350,4,4,15
340,350,5,5,24
340,350,6,6,15
340,350,7,5,2
340,350,7,7,36
340,350,8,8,1
340,350,8,9,1
340,350,9,9,11
340,350,10,7,1
340,350,10,10,26
350,360,1,1,16
350,360,2,2,17
350,360,3,3,52
350,360,4,4,15
350,360,5,5,26
350,360,6,6,15
350,360,7,5,2
350,360,7,7,34
350,360,7,10,1
350,360,8,8,1
350,360,9,9,12
350,360,10,10,26
360,370,1,1,15
360,370,1,2,1
360,370,2,2,17
360,370,3,3,52
360,370,4,4,15
360,370,5,3,1
360,370,5,5,26
360,370,5,7,1
360,370,6,6,15
360,370,7,5,1
360,370,7,7,31
360,370,7,10,2
360,370,8,8,1
360,370,9,9,12
360,370,10,7,2
360,370,10,10,25
370,380,1,1,15
370,380,2,2,18
370,380,3,3,53
370,380,4,4,15
370,380,5,3,1
370,380,5,5,26
370,380,6,6,15
370,380,7,7,34
370,380,8,8,1
370,380,9,9,12
370,380,10,7,1
370,380,10,10,26
380,390,1,1,15
380,390,2,2,18
380,390,3,2,1
380,390,3,3,53
380,390,4,4,15
380,390,5,5,26
380,390,6,6,15
380,390,7,7,34
380,390,7,10,1
380,390,8,8,1
380,390,9,9,12
380,390,10,10,26
390,400,1,1,15
390,400,2,2,19
390,400,3,3,53
390,400,4,4,15
390,400,5,3,1
390,400,5,5,25
390,400,6,6,15
390,400,7,7,34
390,400,8,8,1
390,400,9,9,11
390,400,9,10,1
390,400,10,10,27
400,410,1,1,15
400,410,2,2,19
400,410,3,3,54
400,410,4,4,15
400,410,5,3,1
400,410,5,5,24
400,410,6,6,15
400,410,7,5,1
400,410,7,7,32
400,410,7,10,1
400,410,8,8,1
400,410,9,9,11
400,410,10,10,28
410,420,1,1,15
410,420,2,2,19
410,420,3,3,55
410,420,4,4,15
410,420,5,5,23
410,420,5,7,2
410,420,6,6,13
410,420,6,7,2
410,420,7,5,1
410,420,7,7,31
410,420,8,8,1
410,420,9,6,1
410,420,9,9,10
410,420,10,10,29
420,430,1,1,15
420,430,2,2,19
420,430,3,3,55
420,430,4,4,14
420,430,4,5,1
420,430,5,2,1
420,430,5,5,23
420,430,6,4,1
420,430,6,6,13
420,430,7,7,35
420,430,8,8,1
420,430,9,9,10
420,430,10,10,29
430,440,1,1,15
430,440,2,2,18
430,440,2,3,2
430,440,3,2,1
430,440,3,3,54
430,440,4,4,15
430,440,5,5,24
430,440,6,6,13
430,440,7,7,32
430,440,7,10,3
430,440,8,8,1
430,440,9,7,1
430,440,9,9,9
430,440,10,10,29
440,450,1,1,15
440,450,2,2,19
440,450,3,3,55
440,450,3,5,1
440,450,4,4,15
440,450,5,5,24
440,450,6,6,13
440,450,7,7,33
440,450,8,8,1
440,450,9,9,9
440,450,10,10,32
450,460,1,1,15
450,460,2,2,19
450,460,3,3,54
450,460,3,5,1
450,460,4,1,2
450,460,4,4,13
450,460,5,3,1
450,460,5,5,24
450,460,6,6,13
450,460,7,5,1
450,460,7,7,32
450,460,8,8,1
450,460,9,9,9
450,460,10,10,32
460,470,1,1,17
460,470,2,2,19
460,470,3,3,55
460,470,4,4,13
460,470,5,3,1
460,470,5,5,25
460,470,6,6,13
460,470,7,7,32
460,470,8,8,1
460,470,9,9,9
460,470,10,10,32
470,480,1,1,17
470,480,2,2,18
470,480,2,3,1
470,480,3,2,2
470,480,3,3,53
470,480,3,5,1
470,480,4,1,2
470,480,4,2,1
470,480,4,4,10
470,480,5,5,25
470,480,6,6,13
470,480,7,7,32
470,480,8,8,1
470,480,9,9,9
470,480,10,10,32
480,490,1,1,19
480,490,2,2,20
480,490,2,3,1
480,490,3,3,53
480,490,3,5,1
480,490,4,4,10
480,490,5,5,26
480,490,6,6,13
480,490,7,7,32
480,490,8,8,1
480,490,9,9,9
480,490,10,10,32
490,500,1,1,19
490,500,2,2,20
490,500,3,3,54
490,500,4,4,10
490,500,5,3,3
490,500,5,5,24
490,500,6,6,13
490,500,7,5,2
490,500,7,7,29
490,500,7,10,1
490,500,8,8,1
490,500,9,9,9
490,500,10,10,32
500,510,1,1,19
500,510,2,2,20
500,510,3,3,57
500,510,4,4,10
500,510,5,3,1
500,510,5,4,1
500,510,5,5,24
500,510,6,4,1
500,510,6,6,12
500,510,7,7,29
500,510,8,8,1
500,510,9,9,9
500,510,10,7,2
500,510,10,10,31
510,520,1,1,19
510,520,2,1,1
510,520,2,2,19
510,520,3,3,58
510,520,4,4,12
510,520,5,3,1
510,520,5,4,1
510,520,5,5,22
510,520,6,6,12
510,520,7,7,29
510,520,7,10,2
510,520,8,8,1
510,520,9,9,9
510,520,10,10,31
520,530,1,1,20
520,530,2,2,19
520,530,3,2,1
520,530,3,3,58
520,530,4,4,13
520,530,5,5,22
520,530,6,6,12
520,530,7,7,29
520,530,8,8,1
520,530,9,9,9
520,530,10,10,33
530,540,1,1,20
530,540,2,1,1
530,540,2,2,19
530,540,3,3,57
530,540,3,5,1
530,540,4,4,13
530,540,5,4,1
530,540,5,5,21
530,540,6,6,12
530,540,7,6,2
530,540,7,7,27
530,540,8,8,1
530,540,9,6,1
530,540,9,9,8
530,540,10,10,33
540,550,1,1,21
540,550,2,2,19
540,550,3,3,57
540,550,4,2,1
540,550,4,4,13
540,550,5,3,1
540,550,5,5,21
540,550,6,6,15
540,550,7,7,27
540,550,8,8,1
540,550,9,9,8
540,550,10,9,1
540,550,10,10,32
550,560,1,1,21
550,560,2,2,20
550,560,3,3,57
550,560,3,5,1
550,560,4,4,13
550,560,5,3,1
550,560,5,5,20
550,560,6,6,15
550,560,7,7,27
550,560,8,8,1
550,560,9,8,1
550,560,9,9,8
550,560,10,10,32
560,570,1,1,21
560,570,2,2,20
560,570,3,3,58
560,570,4,4,13
560,570,5,5,21
560,570,6,4,1
560,570,6,6,14
560,570,7,7,26
560,570,7,10,1
560,570,8,8,2
560,570,9,8,1
560,570,9,9,7
560,570,10,10,32
570,580,1,1,21
570,580,2,2,20
570,580,3,3,58
570,580,4,4,14
570,580,5,3,2
570,580,5,5,19
570,580,6,6,14
570,580,7,7,25
570,580,7,10,1
570,580,8,8,3
570,580,9,9,7
570,580,10,10,33
580,590,1,1,21
580,590,2,2,20
580,590,3,3,60
580,590,4,2,1
580,590,4,4,13
580,590,5,5,19
580,590,6,4,1
580,590,6,6,13
580,590,7,7,25
580,590,8,8,3
580,590,9,9,7
580,590,10,10,34
590,600,1,1,21
590,600,2,2,21
590,600,3,3,60
590,600,4,4,14
590,600,5,2,1
590,600,5,5,18
590,600,6,6,13
590,600,7,7,25
590,600,8,8,3
590,600,9,9,7
590,600,10,7,2
590,600,10,10,32
600,610,1,1,21
600,610,2,2,22
600,610,3,3,60
600,610,4,4,14
600,610,5,5,18
600,610,6,6,13
600,610,7,7,27
600,610,8,8,3
600,610,9,9,7
600,610,10,10,32
610,620,1,1,21
610,620,2,1,1
610,620,2,2,21
610,620,3,3,59
610,620,3,5,1
610,620,4,1,1
610,620,4,4,13
610,620,5,5,18
610,620,6,6,13
610,620,7,5,2
610,620,7,7,25
610,620,8,8,3
610,620,9,9,7
610,620,10,7,1
610,620,10,10,31
620,630,1,1,22
620,630,1,4,1
620,630,2,2,21
620,630,3,3,58
620,630,3,5,1
620,630,4,4,13
620,630,5,3,1
620,630,5,5,20
620,630,6,6,13
620,630,7,7,26
620,630,8,8,3
620,630,9,8,1
620,630,9,9,6
620,630,10,10,31
630,640,1,1,22
630,640,2,1,1
630,640,2,2,20
630,640,3,3,59
630,640,4,1,1
630,640,4,2,1
630,640,4,4,12
630,640,5,5,21
630,640,6,6,13
630,640,7,7,26
630,640,8,8,4
630,640,9,9,6
630,640,10,10,31
640,650,1,1,24
640,650,2,2,20
640,650,2,4,1
640,650,3,3,59
640,650,4,4,12
640,650,5,5,21
640,650,6,6,13
640,650,7,5,1
640,650,7,7,25
640,650,8,8,4
640,650,9,9,6
640,650,10,10,31
650,660,1,1,24
650,660,2,2,20
650,660,3,3,59
650,660,4,1,2
650,660,4,2,2
650,660,4,4,9
650,660,5,5,22
650,660,6,4,1
650,660,6,6,12
650,660,7,5,1
650,660,7,7,24
650,660,8,8,4
650,660,9,9,6
650,660,10,10,31
660,670,1,1,26
660,670,2,1,3
660,670,2,2,18
660,670,2,4,1
660,670,3,3,59
660,670,4,4,10
660,670,5,5,21
660,670,5,7,2
660,670,6,6,12
660,670,7,7,24
660,670,8,8,4
660,670,9,9,6
660,670,10,10,31
670,680,1,1,29
670,680,2,2,18
670,680,3,3,59
670,680,4,4,11
670,680,5,5,21
670,680,6,6,12
670,680,7,5,2
670,680,7,7,24
670,680,8,8,4
670,680,9,6,1
670,680,9,9,5
670,680,10,10,31
680,690,1,1,29
680,690,2,2,18
680,690,3,3,59
680,690,4,2,1
680,690,4,4,10
680,690,5,5,21
680,690,5,7,2
680,690,6,6,13
680,690,7,7,24
680,690,8,8,4
680,690,9,9,5
680,690,10,10,31
690,700,1,1,29
690,700,2,2,18
690,700,2,4,1
690,700,3,3,59
690,700,4,4,10
690,700,5,5,21
690,700,6,6,13
690,700,7,5,1
690,700,7,7,25
690,700,8,8,4
690,700,9,9,5
690,700,10,7,2
690,700,10,10,29
700,710,1,1,29
700,710,2,2,17
700,710,2,5,1
700,710,3,2,2
700,710,3,3,57
700,710,4,4,11
700,710,5,5,22
700,710,6,6,13
700,710,7,7,27
700,710,8,8,4
700,710,9,9,5
700,710,10,7,2
700,710,10,10,27
710,720,1,1,28
710,720,1,2,1
710,720,2,2,19
710,720,3,3,57
710,720,4,4,11
710,720,5,5,23
710,720,6,6,13
710,720,7,7,29
710,720,8,8,4
710,720,9,9,5
710,720,10,10,27
720,730,1,1,27
720,730,1,2,1
720,730,2,2,20
720,730,3,3,57
720,730,4,4,11
720,730,5,5,23
720,730,6,6,13
720,730,7,7,29
720,730,8,8,4
720,730,9,9,5
720,730,10,10,27
730,740,1,1,27
730,740,2,1,1
730,740,2,2,20
730,740,3,3,57
730,740,4,4,11
730,740,5,5,23
730,740,6,6,13
730,740,7,7,29
730,740,8,8,4
730,740,9,9,5
730,740,10,7,1
730,740,10,10,26
740,750,1,1,28
740,750,2,2,20
740,750,3,3,56
740,750,3,5,1
740,750,4,4,11
740,750,5,3,2
740,750,5,5,20
740,750,5,7,1
740,750,6,6,13
740,750,7,7,30
740,750,8,8,4
740,750,9,9,5
740,750,10,10,26
750,760,1,1,28
750,760,2,2,20
750,760,3,3,58
750,760,4,4,11
750,760,5,5,21
750,760,6,6,13
750,760,7,7,31
750,760,8,8,4
750,760,9,9,5
750,760,10,10,26
760,770,1,1,28
760,770,2,2,20
760,770,3,3,58
760,770,4,4,11
760,770,5,5,21
760,770,6,6,13
760,770,7,6,2
760,770,7,7,29
760,770,8,8,4
760,770,9,9,5
760,770,10,10,26
770,780,1,1,28
770,780,2,2,20
770,780,3,2,1
770,780,3,3,57
770,780,4,1,1
770,780,4,4,10
770,780,5,5,21
770,780,6,4,2
770,780,6,6,13
770,780,7,7,29
770,780,8,8,4
770,780,9,9,5
770,780,10,10,26
780,790,1,1,28
780,790,1,2,1
780,790,2,1,1
780,790,2,2,20
780,790,3,3,57
780,790,4,4,12
780,790,5,3,2
780,790,5,5,19
780,790,6,6,13
780,790,7,7,29
780,790,8,8,4
780,790,9,9,5
780,790,10,9,1
780,790,10,10,25
790,800,1,1,29
790,800,2,2,20
790,800,2,5,1
790,800,3,2,2
790,800,3,3,57
790,800,4,4,12
790,800,5,5,19
790,800,6,6,13
790,800,7,7,29
790,800,8,8,4
790,800,9,9,6
790,800,10,10,25
800,810,1,1,29
800,810,2,2,22
800,810,3,3,57
800,810,4,4,12
800,810,5,5,20
800,810,6,4,2
800,810,6,6,11
800,810,7,5,1
800,810,7,7,28
800,810,8,8,4
800,810,9,9,6
800,810,10,7,3
800,810,10,10,22
810,820,1,1,29
810,820,2,2,22
810,820,3,3,57
810,820,4,4,14
810,820,5,3,1
810,820,5,5,20
810,820,6,6,11
810,820,7,5,1
810,820,7,7,30
810,820,8,8,4
810,820,9,9,6
810,820,10,7,1
810,820,10,10,21
820,830,1,1,29
820,830,2,2,21
820,830,2,4,1
820,830,3,3,57
820,830,3,5,1
820,830,4,4,14
820,830,5,5,21
820,830,6,6,11
820,830,7,5,1
820,830,7,6,1
820,830,7,7,29
820,830,8,8,4
820,830,9,9,6
820,830,10,10,21
830,840,1,1,29
830,840,2,2,21
830,840,3,3,57
830,840,4,4,15
830,840,5,3,1
830,840,5,5,22
830,840,6,6,12
830,840,7,7,29
830,840,8,8,4
830,840,9,9,6
830,840,10,10,21
840,850,1,1,29
840,850,2,2,21
840,850,3,3,58
840,850,4,4,15
840,850,5,4,1
840,850,5,5,21
840,850,6,6,12
840,850,7,7,29
840,850,8,8,4
840,850,9,9,6
840,850,10,7,2
840,850,10,10,19
850,860,1,1,29
850,860,2,2,21
850,860,3,2,1
850,860,3,3,57
850,860,4,4,16
850,860,5,5,20
850,860,5,7,1
850,860,6,4,2
850,860,6,6,10
850,860,7,5,1
850,860,7,7,30
850,860,8,8,4
850,860,9,9,6
850,860,10,10,19
860,870,1,1,28
860,870,1,4,1
860,870,2,2,22
860,870,3,3,57
860,870,4,2,1
860,870,4,4,16
860,870,4,5,1
860,870,5,5,21
860,870,6,6,10
860,870,7,7,31
860,870,8,8,4
860,870,9,9,6
860,870,10,10,19
870,880,1,1,28
870,880,2,2,23
870,880,3,3,57
870,880,4,1,1
870,880,4,4,16
870,880,5,3,1
870,880,5,5,21
870,880,6,6,10
870,880,7,7,31
870,880,8,8,4
870,880,9,7,1
870,880,9,9,5
870,880,10,10,19
880,890,1,1,28
880,890,1,4,1
880,890,2,2,23
880,890,3,3,58
880,890,4,4,16
880,890,5,5,21
880,890,6,6,10
880,890,7,7,32
880,890,8,8,4
880,890,9,9,5
880,890,10,7,1
880,890,10,10,18
