time_from,time_to,region_from,region_to,Nnet_true
260,270,1,1,14
260,270,2,2,16
260,270,2,3,1
260,270,3,3,43
260,270,4,4,12
260,270,5,3,1
260,270,5,5,20
260,270,6,6,11
260,270,6,7,1
260,270,7,7,31
260,270,8,8,4
260,270,8,9,1
260,270,9,6,1
260,270,9,9,11
260,270,10,10,18
270,280,1,1,14
270,280,2,2,16
270,280,3,3,44
270,280,3,5,1
270,280,4,4,12
270,280,5,5,20
270,280,6,6,12
270,280,7,7,32
270,280,8,8,2
270,280,8,9,2
270,280,9,9,12
270,280,10,10,18
280,290,1,1,14
280,290,2,1,1
280,290,2,2,14
280,290,2,3,1
280,290,3,3,44
280,290,4,4,12
280,290,5,5,21
280,290,6,6,12
280,290,7,7,32
280,290,8,8,2
280,290,9,9,14
280,290,10,10,18
290,300,1,1,15
290,300,2,2,14
290,300,3,3,45
290,300,4,4,12
290,300,5,2,1
290,300,5,5,20
290,300,6,6,12
290,300,7,7,32
290,300,8,8,2
290,300,9,6,1
290,300,9,7,1
290,300,9,9,12
290,300,10,7,1
290,300,10,10,17
300,310,1,1,15
300,310,2,2,15
300,310,3,3,45
300,310,4,4,11
300,310,4,5,1
300,310,5,3,1
300,310,5,5,19
300,310,6,6,13
300,310,7,7,34
300,310,8,8,2
300,310,9,9,12
300,310,10,10,17
310,320,1,1,15
310,320,2,2,14
310,320,2,3,1
310,320,3,3,46
310,320,4,2,1
310,320,4,4,10
310,320,5,3,1
310,320,5,5,19
310,320,6,5,1
310,320,6,6,11
310,320,6,7,1
310,320,7,7,34
310,320,8,8,2
310,320,9,9,12
310,320,10,10,17
320,330,1,1,15
320,330,2,2,15
320,330,3,3,48
320,330,4,4,10
320,330,5,5,19
320,330,5,7,1
320,330,6,6,11
320,330,7,7,33
320,330,7,10,2
320,330,8,8,2
320,330,9,6,1
320,330,9,9,11
320,330,10,10,17
330,340,1,1,15
330,340,2,2,15
330,340,3,3,48
330,340,4,4,10
330,340,5,5,19
330,340,6,6,12
330,340,7,7,33
330,340,7,10,1
330,340,8,8,2
330,340,9,9,11
330,340,10,10,19
340,350,1,1,15
340,350,2,2,15
340,350,3,3,48
340,350,4,4,10
340,350,5,5,19
340,350,6,6,12
340,350,7,5,1
340,350,7,7,32
340,350,8,8,1
340,350,8,9,1
340,350,9,9,11
340,350,10,7,1
340,350,10,10,19
350,360,1,1,15
350,360,2,2,15
350,360,3,3,48
350,360,4,4,10
350,360,5,5,20
350,360,6,6,12
350,360,7,5,2
350,360,7,7,30
350,360,7,10,1
350,360,8,8,1
350,360,9,9,12
350,360,10,10,19
360,370,1,1,14
360,370,1,2,1
360,370,2,2,15
360,370,3,3,48
360,370,4,4,10
360,370,5,3,1
360,370,5,5,20
360,370,5,7,1
360,370,6,6,12
360,370,7,5,1
360,370,7,7,28
360,370,7,10,1
360,370,8,8,1
360,370,9,9,12
360,370,10,7,1
360,370,10,10,19
370,380,1,1,14
370,380,2,2,16
370,380,3,3,49
370,380,4,4,10
370,380,5,3,1
370,380,5,5,20
370,380,6,6,12
370,380,7,7,30
370,380,8,8,1
370,380,9,9,12
370,380,10,7,1
370,380,10,10,19
380,390,1,1,14
380,390,2,2,16
380,390,3,2,1
380,390,3,3,49
380,390,4,4,10
380,390,5,5,20
380,390,6,6,12
380,390,7,7,30
380,390,7,10,1
380,390,8,8,1
380,390,9,9,12
380,390,10,10,19
390,400,1,1,14
390,400,2,2,17
390,400,3,3,49
390,400,4,4,10
390,400,5,3,1
390,400,5,5,19
390,400,6,6,12
390,400,7,7,30
390,400,8,8,1
390,400,9,9,11
390,400,9,10,1
390,400,10,10,20
400,410,1,1,14
400,410,2,2,17
400,410,3,3,50
400,410,4,4,10
400,410,5,3,1
400,410,5,5,18
400,410,6,6,12
400,410,7,5,1
400,410,7,7,28
400,410,7,10,1
400,410,8,8,1
400,410,9,9,11
400,410,10,10,21
410,420,1,1,14
410,420,2,2,17
410,420,3,3,51
410,420,4,4,10
410,420,5,5,17
410,420,5,7,2
410,420,6,6,11
410,420,6,7,1
410,420,7,5,1
410,420,7,7,27
410,420,8,8,1
410,420,9,6,1
410,420,9,9,10
410,420,10,10,22
420,430,1,1,14
420,430,2,2,17
420,430,3,3,51
420,430,4,4,9
420,430,4,5,1
420,430,5,2,1
420,430,5,5,17
420,430,6,4,1
420,430,6,6,11
420,430,7,7,30
420,430,8,8,1
420,430,9,9,10
420,430,10,10,22
430,440,1,1,14
430,440,2,2,17
430,440,2,3,1
430,440,3,2,1
430,440,3,3,50
430,440,4,4,10
430,440,5,5,18
430,440,6,6,11
430,440,7,7,28
430,440,7,10,2
430,440,8,8,1
430,440,9,7,1
430,440,9,9,9
430,440,10,10,22
440,450,1,1,14
440,450,2,2,18
440,450,3,3,50
440,450,3,5,1
440,450,4,4,10
440,450,5,5,18
440,450,6,6,11
440,450,7,7,29
440,450,8,8,1
440,450,9,9,9
440,450,10,10,24
450,460,1,1,14
450,460,2,2,18
450,460,3,3,49
450,460,3,5,1
450,460,4,1,1
450,460,4,4,9
450,460,5,3,1
450,460,5,5,18
450,460,6,6,11
450,460,7,5,1
450,460,7,7,28
450,460,8,8,1
450,460,9,9,9
450,460,10,10,24
460,470,1,1,15
460,470,2,2,18
460,470,3,3,50
460,470,4,4,9
460,470,5,3,1
460,470,5,5,19
460,470,6,6,11
460,470,7,7,28
460,470,8,8,1
460,470,9,9,9
460,470,10,10,24
470,480,1,1,15
470,480,2,2,17
470,480,2,3,1
470,480,3,2,1
470,480,3,3,49
470,480,3,5,1
470,480,4,1,1
470,480,4,2,1
470,480,4,4,7
470,480,5,5,19
470,480,6,6,11
470,480,7,7,28
470,480,8,8,1
470,480,9,9,9
470,480,10,10,24
480,490,1,1,16
480,490,2,2,18
480,490,2,3,1
480,490,3,3,49
480,490,3,5,1
480,490,4,4,7
480,490,5,5,20
480,490,6,6,11
480,490,7,7,28
480,490,8,8,1
480,490,9,9,9
480,490,10,10,24
490,500,1,1,16
490,500,2,2,18
490,500,3,3,50
490,500,4,4,7
490,500,5,3,2
490,500,5,5,19
490,500,6,6,11
490,500,7,5,1
490,500,7,7,26
490,500,7,10,1
490,500,8,8,1
490,500,9,9,9
490,500,10,10,24
500,510,1,1,16
500,510,2,2,18
500,510,3,3,52
500,510,4,4,7
500,510,5,3,1
500,510,5,4,1
500,510,5,5,18
500,510,6,4,1
500,510,6,6,10
500,510,7,7,26
500,510,8,8,1
500,510,9,9,9
500,510,10,7,1
500,510,10,10,24
510,520,1,1,16
510,520,2,1,1
510,520,2,2,17
510,520,3,3,53
510,520,4,4,9
510,520,5,3,1
510,520,5,4,1
510,520,5,5,16
510,520,6,6,10
510,520,7,7,26
510,520,7,10,1
510,520,8,8,1
510,520,9,9,9
510,520,10,10,24
520,530,1,1,17
520,530,2,2,17
520,530,3,2,1
520,530,3,3,53
520,530,4,4,10
520,530,5,5,16
520,530,6,6,10
520,530,7,7,26
520,530,8,8,1
520,530,9,9,9
520,530,10,10,25
530,540,1,1,17
530,540,2,1,1
530,540,2,2,17
530,540,3,3,52
530,540,3,5,1
530,540,4,4,10
530,540,5,4,1
530,540,5,5,15
530,540,6,6,10
530,540,7,6,1
530,540,7,7,25
530,540,8,8,1
530,540,9,6,1
530,540,9,9,8
530,540,10,10,25
540,550,1,1,18
540,550,2,2,17
540,550,3,3,52
540,550,4,2,1
540,550,4,4,10
540,550,5,3,1
540,550,5,5,15
540,550,6,6,12
540,550,7,7,25
540,550,8,8,1
540,550,9,9,8
540,550,10,9,1
540,550,10,10,24
550,560,1,1,18
550,560,2,2,18
550,560,3,3,52
550,560,3,5,1
550,560,4,4,10
550,560,5,3,1
550,560,5,5,14
550,560,6,6,12
550,560,7,7,25
550,560,8,8,1
550,560,9,8,1
550,560,9,9,8
550,560,10,10,24
560,570,1,1,18
560,570,2,2,18
560,570,3,3,53
560,570,4,4,10
560,570,5,5,15
560,570,6,4,1
560,570,6,6,11
560,570,7,7,24
560,570,7,10,1
560,570,8,8,2
560,570,9,8,1
560,570,9,9,7
560,570,10,10,24
570,580,1,1,18
570,580,2,2,18
570,580,3,3,53
570,580,4,4,11
570,580,5,3,1
570,580,5,5,14
570,580,6,6,11
570,580,7,7,23
570,580,7,10,1
570,580,8,8,3
570,580,9,9,7
570,580,10,10,25
580,590,1,1,18
580,590,2,2,18
580,590,3,3,54
580,590,4,2,1
580,590,4,4,10
580,590,5,5,14
580,590,6,4,1
580,590,6,6,10
580,590,7,7,23
580,590,8,8,3
580,590,9,9,7
580,590,10,10,26
590,600,1,1,18
590,600,2,2,19
590,600,3,3,54
590,600,4,4,11
590,600,5,2,1
590,600,5,5,13
590,600,6,6,10
590,600,7,7,23
590,600,8,8,3
590,600,9,9,7
590,600,10,7,1
590,600,10,10,25
600,610,1,1,18
600,610,2,2,20
600,610,3,3,54
600,610,4,4,11
600,610,5,5,13
600,610,6,6,10
600,610,7,7,24
600,610,8,8,3
600,610,9,9,7
600,610,10,10,25
610,620,1,1,18
610,620,2,1,1
610,620,2,2,19
610,620,3,3,53
610,620,3,5,1
610,620,4,1,1
610,620,4,4,10
610,620,5,5,13
610,620,6,6,10
610,620,7,5,2
610,620,7,7,22
610,620,8,8,3
610,620,9,9,7
610,620,10,7,1
610,620,10,10,24
620,630,1,1,19
620,630,1,4,1
620,630,2,2,19
620,630,3,3,52
620,630,3,5,1
620,630,4,4,10
620,630,5,3,1
620,630,5,5,15
620,630,6,6,10
620,630,7,7,23
620,630,8,8,3
620,630,9,8,1
620,630,9,9,6
620,630,10,10,24
630,640,1,1,19
630,640,2,1,1
630,640,2,2,18
630,640,3,3,53
630,640,4,1,1
630,640,4,2,1
630,640,4,4,9
630,640,5,5,16
630,640,6,6,10
630,640,7,7,23
630,640,8,8,4
630,640,9,9,6
630,640,10,10,24
640,650,1,1,21
640,650,2,2,18
640,650,2,4,1
640,650,3,3,53
640,650,4,4,9
640,650,5,5,16
640,650,6,6,10
640,650,7,5,1
640,650,7,7,22
640,650,8,8,4
640,650,9,9,6
640,650,10,10,24
650,660,1,1,21
650,660,2,2,18
650,660,3,3,53
650,660,4,1,1
650,660,4,2,2
650,660,4,4,7
650,660,5,5,17
650,660,6,4,1
650,660,6,6,9
650,660,7,5,1
650,660,7,7,21
650,660,8,8,4
650,660,9,9,6
650,660,10,10,24
660,670,1,1,22
660,670,2,1,2
660,670,2,2,17
660,670,2,4,1
660,670,3,3,53
660,670,4,4,8
660,670,5,5,17
660,670,5,7,1
660,670,6,6,9
660,670,7,7,21
660,670,8,8,4
660,670,9,9,6
660,670,10,10,24
670,680,1,1,24
670,680,2,2,17
670,680,3,3,53
670,680,4,4,9
670,680,5,5,17
670,680,6,6,9
670,680,7,5,1
670,680,7,7,21
670,680,8,8,4
670,680,9,6,1
670,680,9,9,5
670,680,10,10,24
680,690,1,1,24
680,690,2,2,17
680,690,3,3,53
680,690,4,2,1
680,690,4,4,8
680,690,5,5,17
680,690,5,7,1
680,690,6,6,10
680,690,7,7,21
680,690,8,8,4
680,690,9,9,5
680,690,10,10,24
690,700,1,1,24
690,700,2,2,17
690,700,2,4,1
690,700,3,3,53
690,700,4,4,8
690,700,5,5,17
690,700,6,6,10
690,700,7,5,1
690,700,7,7,21
690,700,8,8,4
690,700,9,9,5
690,700,10,7,1
690,700,10,10,23
700,710,1,1,24
700,710,2,2,16
700,710,2,5,1
700,710,3,2,2
700,710,3,3,51
700,710,4,4,9
700,710,5,5,18
700,710,6,6,10
700,710,7,7,22
700,710,8,8,4
700,710,9,9,5
700,710,10,7,1
700,710,10,10,22
710,720,1,1,23
710,720,1,2,1
710,720,2,2,18
710,720,3,3,51
710,720,4,4,9
710,720,5,5,19
710,720,6,6,10
710,720,7,7,23
710,720,8,8,4
710,720,9,9,5
710,720,10,10,22
720,730,1,1,22
720,730,1,2,1
720,730,2,2,19
720,730,3,3,51
720,730,4,4,9
720,730,5,5,19
720,730,6,6,10
720,730,7,7,23
720,730,8,8,4
720,730,9,9,5
720,730,10,10,22
730,740,1,1,22
730,740,2,1,1
730,740,2,2,19
730,740,3,3,51
730,740,4,4,9
730,740,5,5,19
730,740,6,6,10
730,740,7,7,23
730,740,8,8,4
730,740,9,9,5
730,740,10,7,1
730,740,10,10,21
740,750,1,1,23
740,750,2,2,19
740,750,3,3,50
740,750,3,5,1
740,750,4,4,9
740,750,5,3,2
740,750,5,5,16
740,750,5,7,1
740,750,6,6,10
740,750,7,7,24
740,750,8,8,4
740,750,9,9,5
740,750,10,10,21
750,760,1,1,23
750,760,2,2,19
750,760,3,3,52
750,760,4,4,9
750,760,5,5,17
750,760,6,6,10
750,760,7,7,25
750,760,8,8,4
750,760,9,9,5
750,760,10,10,21
760,770,1,1,23
760,770,2,2,19
760,770,3,3,52
760,770,4,4,9
760,770,5,5,17
760,770,6,6,10
760,770,7,6,1
760,770,7,7,24
760,770,8,8,4
760,770,9,9,5
760,770,10,10,21
770,780,1,1,23
770,780,2,2,19
770,780,3,2,1
770,780,3,3,51
770,780,4,1,1
770,780,4,4,8
770,780,5,5,17
770,780,6,4,1
770,780,6,6,10
770,780,7,7,24
770,780,8,8,4
770,780,9,9,5
770,780,10,10,21
780,790,1,1,23
780,790,1,2,1
780,790,2,1,1
780,790,2,2,19
780,790,3,3,51
780,790,4,4,9
780,790,5,3,1
780,790,5,5,16
780,790,6,6,10
780,790,7,7,24
780,790,8,8,4
780,790,9,9,5
780,790,10,9,1
780,790,10,10,20
790,800,1,1,24
790,800,2,2,19
790,800,2,5,1
790,800,3,2,1
790,800,3,3,51
790,800,4,4,9
790,800,5,5,16
790,800,6,6,10
790,800,7,7,24
790,800,8,8,4
790,800,9,9,6
790,800,10,10,20
800,810,1,1,24
800,810,2,2,20
800,810,3,3,51
800,810,4,4,9
800,810,5,5,17
800,810,6,4,1
800,810,6,6,9
800,810,7,5,1
800,810,7,7,23
800,810,8,8,4
800,810,9,9,6
800,810,10,7,2
800,810,10,10,18
810,820,1,1,24
810,820,2,2,20
810,820,3,3,51
810,820,4,4,10
810,820,5,3,1
810,820,5,5,17
810,820,6,6,9
810,820,7,5,1
810,820,7,7,24
810,820,8,8,4
810,820,9,9,6
810,820,10,7,1
810,820,10,10,17
820,830,1,1,24
820,830,2,2,19
820,830,2,4,1
820,830,3,3,51
820,830,3,5,1
820,830,4,4,10
820,830,5,5,18
820,830,6,6,9
820,830,7,5,1
820,830,7,6,1
820,830,7,7,23
820,830,8,8,4
820,830,9,9,6
820,830,10,10,17
830,840,1,1,24
830,840,2,2,19
830,840,3,3,51
830,840,4,4,11
830,840,5,3,1
830,840,5,5,19
830,840,6,6,10
830,840,7,7,23
830,840,8,8,4
830,840,9,9,6
830,840,10,10,17
840,850,1,1,24
840,850,2,2,19
840,850,3,3,52
840,850,4,4,11
840,850,5,4,1
840,850,5,5,18
840,850,6,6,10
840,850,7,7,23
840,850,8,8,4
840,850,9,9,6
840,850,10,7,2
840,850,10,10,15
850,860,1,1,24
850,860,2,2,19
850,860,3,2,1
850,860,3,3,51
850,860,4,4,12
850,860,5,5,17
850,860,5,7,1
850,860,6,4,1
850,860,6,6,9
850,860,7,5,1
850,860,7,7,24
850,860,8,8,4
850,860,9,9,6
850,860,10,10,15
860,870,1,1,23
860,870,1,4,1
860,870,2,2,20
860,870,3,3,51
860,870,4,2,1
860,870,4,4,11
860,870,4,5,1
860,870,5,5,18
860,870,6,6,9
860,870,7,7,25
860,870,8,8,4
860,870,9,9,6
860,870,10,10,15
870,880,1,1,23
870,880,2,2,21
870,880,3,3,51
870,880,4,1,1
870,880,4,4,11
870,880,5,3,1
870,880,5,5,18
870,880,6,6,9
870,880,7,7,25
870,880,8,8,4
870,880,9,7,1
870,880,9,9,5
870,880,10,10,15
880,890,1,1,23
880,890,1,4,1
880,890,2,2,21
880,890,3,3,52
880,890,4,4,11
880,890,5,5,18
880,890,6,6,9
880,890,7,7,26
880,890,8,8,4
880,890,9,9,5
880,890,10,7,1
880,890,10,10,14
